_id,number,time,endpoint,port,payload_len,request_size,response_time,stream_id,type,retransmission,response_of
69aaa6fa939a29747924a005,1452,1772788701,172.20.10.5,8888,496,0,0.0,37,request,False,0
69aaa6fa939a29747924a006,1499,1772788704,,,126,496,3013.507,37,response,False,0
69aaa6fa939a29747924a007,1500,1772788704,,,107,0,0.0,37,,False,0
69aaa6fa939a29747924a008,1853,1772788709,172.20.10.5,8888,496,0,0.0,37,request,False,0
69aaa6fa939a29747924a009,1876,1772788712,,,126,496,3032.173,37,response,False,0
69aaa6fa939a29747924a00a,1877,1772788712,,,108,0,0.0,37,,False,0
69aaa6fa939a29747924a00b,2039,1772788714,172.20.10.5,8888,496,0,0.0,37,request,False,0
69aaa6fa939a29747924a00c,2243,1772788717,,,126,496,3024.047,37,response,False,0
69aaa6fa939a29747924a00d,2244,1772788717,,,108,0,0.0,37,,False,0
69aaa6fa939a29747924a00e,2249,1772788718,,,234,0,0.0,37,,True,0
69aaa6fa939a29747924a00f,2403,1772788729,172.20.10.5,8888,496,0,0.0,36,request,False,0
69aaa6fa939a29747924a010,2436,1772788732,,,126,496,3029.17,36,response,False,0
69aaa6fa939a29747924a011,2437,1772788732,,,108,0,0.0,36,,False,0
69aaa6fa939a29747924a012,2845,1772788774,,,1,0,0.0,53,,False,0
69aaa6fa939a29747924a013,2989,1772788782,,,1,0,0.0,36,,False,0
69aaa6fa939a29747924a014,3408,1772788819,,,1,0,0.0,53,,False,0
69aaa6fa939a29747924a015,3537,1772788827,,,1,0,0.0,36,,False,0
69aaa6fa939a29747924a016,3970,1772788865,172.20.10.5,8888,496,0,0.0,68,request,False,0
69aaa6fa939a29747924a017,4040,1772788868,,,126,496,3036.1479999999997,68,response,False,0
69aaa6fa939a29747924a018,4041,1772788868,,,108,0,0.0,68,,False,0
69aaa6fa939a29747924a019,4206,1772788879,172.20.10.5,8888,496,0,0.0,67,request,False,0
69aaa6fa939a29747924a01a,4246,1772788882,,,126,496,3018.762,67,response,False,0
69aaa6fa939a29747924a01b,4247,1772788882,,,108,0,0.0,67,,False,0
69aaa6fa939a29747924a01c,4347,1772788894,172.20.10.5,8888,496,0,0.0,74,request,False,0
69aaa6fa939a29747924a01d,4379,1772788897,,,126,496,3032.4990000000003,74,response,False,0
69aaa6fa939a29747924a01e,4380,1772788897,,,108,0,0.0,74,,False,0
69aaa6fa939a29747924a01f,4381,1772788898,,,234,0,0.0,74,,True,0
69aaa6fa939a29747924a020,4430,1772788902,172.20.10.5,8888,496,0,0.0,74,request,False,0
69aaa6fa939a29747924a021,4458,1772788905,,,126,496,3021.124,74,response,False,0
69aaa6fa939a29747924a022,4459,1772788905,,,107,0,0.0,74,,False,0
